ville;annee;type_local;prix_centre;prix_peripherie;ratio
Bordeaux;2021;Appartement;4600.0;3471.0;1.325
Bordeaux;2021;Maison;5211.0;3912.0;1.332
Bordeaux;2022;Appartement;4628.0;3591.0;1.289
Bordeaux;2022;Maison;5398.0;4126.0;1.308
Bordeaux;2023;Appartement;4533.0;3536.0;1.282
Bordeaux;2023;Maison;5369.0;4065.0;1.321
Bordeaux;2024;Appartement;4231.0;3333.0;1.269
Bordeaux;2024;Maison;4964.0;3723.0;1.333
Bordeaux;2025;Appartement;4123.0;3303.0;1.248
Bordeaux;2025;Maison;4855.0;3617.0;1.342
Lille;2021;Appartement;3718.0;2614.0;1.422
Lille;2021;Maison;2770.0;2417.0;1.146
Lille;2022;Appartement;3856.0;2606.0;1.48
Lille;2022;Maison;2935.0;2594.0;1.131
Lille;2023;Appartement;3857.0;2616.0;1.474
Lille;2023;Maison;2889.0;2521.0;1.146
Lille;2024;Appartement;3683.0;2494.0;1.477
Lille;2024;Maison;2850.0;2446.0;1.165
Lille;2025;Appartement;3708.0;2586.0;1.434
Lille;2025;Maison;2796.0;2489.0;1.123
Lyon;2021;Appartement;5064.0;3469.0;1.46
Lyon;2021;Maison;6450.0;4359.0;1.48
Lyon;2022;Appartement;5079.0;3651.0;1.391
Lyon;2022;Maison;6448.0;4632.0;1.392
Lyon;2023;Appartement;4836.0;3562.0;1.358
Lyon;2023;Maison;6541.0;4407.0;1.484
Lyon;2024;Appartement;4483.0;3295.0;1.361
Lyon;2024;Maison;5787.0;4087.0;1.416
Lyon;2025;Appartement;4470.0;3333.0;1.341
Lyon;2025;Maison;5347.0;3987.0;1.341
Marseille;2021;Appartement;2836.0;3425.0;0.828
Marseille;2021;Maison;4329.0;3889.0;1.113
Marseille;2022;Appartement;3089.0;3667.0;0.842
Marseille;2022;Maison;4783.0;4218.0;1.134
Marseille;2023;Appartement;3167.0;3792.0;0.835
Marseille;2023;Maison;5000.0;4292.0;1.165
Marseille;2024;Appartement;3089.0;3699.0;0.835
Marseille;2024;Maison;4643.0;4130.0;1.124
Marseille;2025;Appartement;3214.0;3706.0;0.867
Marseille;2025;Maison;4641.0;4119.0;1.127
Montpellier;2021;Appartement;3158.0;3505.0;0.901
Montpellier;2021;Maison;3667.0;3760.0;0.975
Montpellier;2022;Appartement;3371.0;3771.0;0.894
Montpellier;2022;Maison;4039.0;4030.0;1.002
Montpellier;2023;Appartement;3432.0;3833.0;0.895
Montpellier;2023;Maison;4078.0;4107.0;0.993
Montpellier;2024;Appartement;3304.0;3686.0;0.896
Montpellier;2024;Maison;4014.0;3977.0;1.009
Montpellier;2025;Appartement;3397.0;3682.0;0.923
Montpellier;2025;Maison;3783.0;3916.0;0.966
Nantes;2021;Appartement;3831.0;2958.0;1.295
Nantes;2021;Maison;4467.0;3467.0;1.288
Nantes;2022;Appartement;3882.0;3165.0;1.227
Nantes;2022;Maison;4720.0;3620.0;1.304
Nantes;2023;Appartement;3718.0;3097.0;1.201
Nantes;2023;Maison;4634.0;3525.0;1.315
Nantes;2024;Appartement;3438.0;2952.0;1.165
Nantes;2024;Maison;4142.0;3222.0;1.286
Nantes;2025;Appartement;3390.0;3000.0;1.13
Nantes;2025;Maison;4115.0;3196.0;1.288
Nice;2021;Appartement;4241.0;4140.0;1.024
Nice;2021;Maison;5566.0;4420.0;1.259
Nice;2022;Appartement;4474.0;4402.0;1.016
Nice;2022;Maison;6192.0;4870.0;1.271
Nice;2023;Appartement;4688.0;4506.0;1.04
Nice;2023;Maison;6437.0;4907.0;1.312
Nice;2024;Appartement;4741.0;4615.0;1.027
Nice;2024;Maison;6287.0;4900.0;1.283
Nice;2025;Appartement;4853.0;4752.0;1.021
Nice;2025;Maison;6449.0;4897.0;1.317
Paris;2021;Appartement;10882.0;5590.0;1.947
Paris;2021;Maison;15672.0;4966.0;3.156
Paris;2022;Appartement;10750.0;5755.0;1.868
Paris;2022;Maison;15153.0;5197.0;2.916
Paris;2023;Appartement;10192.0;5517.0;1.847
Paris;2023;Maison;14326.0;5015.0;2.857
Paris;2024;Appartement;9610.0;5193.0;1.851
Paris;2024;Maison;12502.0;4683.0;2.67
Paris;2025;Appartement;9729.0;5300.0;1.836
Paris;2025;Maison;12619.0;4665.0;2.705
Rennes;2021;Appartement;3573.0;2812.0;1.271
Rennes;2021;Maison;5000.0;2872.0;1.741
Rennes;2022;Appartement;3824.0;3075.0;1.244
Rennes;2022;Maison;5229.0;3137.0;1.667
Rennes;2023;Appartement;3750.0;3125.0;1.2
Rennes;2023;Maison;5033.0;3063.0;1.643
Rennes;2024;Appartement;3608.0;3058.0;1.18
Rennes;2024;Maison;4615.0;2900.0;1.591
Rennes;2025;Appartement;3700.0;3147.0;1.176
Rennes;2025;Maison;4500.0;2914.0;1.544
Toulouse;2021;Appartement;3214.0;2674.0;1.202
Toulouse;2021;Maison;3791.0;3102.0;1.222
Toulouse;2022;Appartement;3312.0;2778.0;1.192
Toulouse;2022;Maison;4000.0;3258.0;1.228
Toulouse;2023;Appartement;3308.0;2828.0;1.17
Toulouse;2023;Maison;3963.0;3208.0;1.235
Toulouse;2024;Appartement;3185.0;2741.0;1.162
Toulouse;2024;Maison;3666.0;3060.0;1.198
Toulouse;2025;Appartement;3251.0;2785.0;1.167
Toulouse;2025;Maison;3708.0;3016.0;1.229
