ville;type_local;ratio_debut;ratio_fin;variation_ecart
Nice;Maison;1.259;1.317;0.058
Marseille;Maison;1.113;1.127;0.014
Lille;Appartement;1.422;1.434;0.012
Bordeaux;Maison;1.332;1.342;0.01
Montpellier;Maison;0.975;0.966;0.009
Toulouse;Maison;1.222;1.229;0.007
Nantes;Maison;1.288;1.288;0.0
Nice;Appartement;1.024;1.021;-0.003
Montpellier;Appartement;0.901;0.923;-0.022
Lille;Maison;1.146;1.123;-0.023
Toulouse;Appartement;1.202;1.167;-0.035
Marseille;Appartement;0.828;0.867;-0.039
Bordeaux;Appartement;1.325;1.248;-0.077
Rennes;Appartement;1.271;1.176;-0.095
Paris;Appartement;1.947;1.836;-0.111
Lyon;Appartement;1.46;1.341;-0.119
Lyon;Maison;1.48;1.341;-0.139
Nantes;Appartement;1.295;1.13;-0.165
Rennes;Maison;1.741;1.544;-0.197
Paris;Maison;3.156;2.705;-0.451
