ville;code_commune;nom_commune;zone;annee;type_local;prix_m2_median;nb_ventes
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2021;Appartement;;28
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2021;Maison;2824.0;157
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2022;Appartement;2785.0;42
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2022;Maison;3049.0;135
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2023;Appartement;2830.0;35
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2023;Maison;2956.0;92
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2024;Appartement;2717.0;32
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2024;Maison;2699.0;102
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2025;Appartement;;25
Bordeaux;33003;Ambarès-et-Lagrave;peripherie;2025;Maison;2685.0;105
Bordeaux;33004;Ambès;peripherie;2021;Appartement;;4
Bordeaux;33004;Ambès;peripherie;2021;Maison;;25
Bordeaux;33004;Ambès;peripherie;2022;Appartement;;16
Bordeaux;33004;Ambès;peripherie;2022;Maison;;24
Bordeaux;33004;Ambès;peripherie;2023;Appartement;;24
Bordeaux;33004;Ambès;peripherie;2023;Maison;;16
Bordeaux;33004;Ambès;peripherie;2024;Appartement;;19
Bordeaux;33004;Ambès;peripherie;2024;Maison;;10
Bordeaux;33004;Ambès;peripherie;2025;Appartement;;20
Bordeaux;33004;Ambès;peripherie;2025;Maison;;25
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2021;Appartement;;28
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2021;Maison;3372.0;63
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2022;Appartement;3310.0;38
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2022;Maison;3523.0;73
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2023;Appartement;3190.0;35
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2023;Maison;3214.0;45
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2024;Appartement;;29
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2024;Maison;3188.0;36
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2025;Appartement;3055.0;40
Bordeaux;33013;Artigues-près-Bordeaux;peripherie;2025;Maison;3139.0;57
Bordeaux;33032;Bassens;peripherie;2021;Appartement;;24
Bordeaux;33032;Bassens;peripherie;2021;Maison;3027.0;37
Bordeaux;33032;Bassens;peripherie;2022;Appartement;2885.0;48
Bordeaux;33032;Bassens;peripherie;2022;Maison;3194.0;37
Bordeaux;33032;Bassens;peripherie;2023;Appartement;2657.0;32
Bordeaux;33032;Bassens;peripherie;2023;Maison;3118.0;41
Bordeaux;33032;Bassens;peripherie;2024;Appartement;;27
Bordeaux;33032;Bassens;peripherie;2024;Maison;3038.0;31
Bordeaux;33032;Bassens;peripherie;2025;Appartement;;28
Bordeaux;33032;Bassens;peripherie;2025;Maison;2857.0;47
Bordeaux;33039;Bègles;peripherie;2021;Appartement;3578.0;227
Bordeaux;33039;Bègles;peripherie;2021;Maison;4366.0;303
Bordeaux;33039;Bègles;peripherie;2022;Appartement;3620.0;324
Bordeaux;33039;Bègles;peripherie;2022;Maison;4520.0;248
Bordeaux;33039;Bègles;peripherie;2023;Appartement;3524.0;233
Bordeaux;33039;Bègles;peripherie;2023;Maison;4509.0;187
Bordeaux;33039;Bègles;peripherie;2024;Appartement;3180.0;194
Bordeaux;33039;Bègles;peripherie;2024;Maison;4063.0;158
Bordeaux;33039;Bègles;peripherie;2025;Appartement;3208.0;216
Bordeaux;33039;Bègles;peripherie;2025;Maison;3990.0;202
Bordeaux;33056;Blanquefort;peripherie;2021;Appartement;3138.0;70
Bordeaux;33056;Blanquefort;peripherie;2021;Maison;3624.0;100
Bordeaux;33056;Blanquefort;peripherie;2022;Appartement;3646.0;73
Bordeaux;33056;Blanquefort;peripherie;2022;Maison;4000.0;117
Bordeaux;33056;Blanquefort;peripherie;2023;Appartement;3333.0;45
