ville;annee;type_local;zone;prix_m2_median;nb_ventes
Bordeaux;2021;Appartement;centre;4600.0;3965
Bordeaux;2021;Appartement;peripherie;3471.0;3862
Bordeaux;2021;Maison;centre;5211.0;1486
Bordeaux;2021;Maison;peripherie;3912.0;4302
Bordeaux;2022;Appartement;centre;4628.0;4145
Bordeaux;2022;Appartement;peripherie;3591.0;4230
Bordeaux;2022;Maison;centre;5398.0;1390
Bordeaux;2022;Maison;peripherie;4126.0;4051
Bordeaux;2023;Appartement;centre;4533.0;3269
Bordeaux;2023;Appartement;peripherie;3536.0;3343
Bordeaux;2023;Maison;centre;5369.0;1056
Bordeaux;2023;Maison;peripherie;4065.0;2937
Bordeaux;2024;Appartement;centre;4231.0;2868
Bordeaux;2024;Appartement;peripherie;3333.0;2996
Bordeaux;2024;Maison;centre;4964.0;866
Bordeaux;2024;Maison;peripherie;3723.0;2636
Bordeaux;2025;Appartement;centre;4123.0;3424
Bordeaux;2025;Appartement;peripherie;3303.0;3721
Bordeaux;2025;Maison;centre;4855.0;1101
Bordeaux;2025;Maison;peripherie;3617.0;3326
Lille;2021;Appartement;centre;3718.0;3336
Lille;2021;Appartement;peripherie;2614.0;4125
Lille;2021;Maison;centre;2770.0;1163
Lille;2021;Maison;peripherie;2417.0;10312
Lille;2022;Appartement;centre;3856.0;3140
Lille;2022;Appartement;peripherie;2606.0;3880
Lille;2022;Maison;centre;2935.0;1106
Lille;2022;Maison;peripherie;2594.0;9841
Lille;2023;Appartement;centre;3857.0;2568
Lille;2023;Appartement;peripherie;2616.0;2804
Lille;2023;Maison;centre;2889.0;903
Lille;2023;Maison;peripherie;2521.0;7292
Lille;2024;Appartement;centre;3683.0;2133
Lille;2024;Appartement;peripherie;2494.0;2520
Lille;2024;Maison;centre;2850.0;817
Lille;2024;Maison;peripherie;2446.0;6864
Lille;2025;Appartement;centre;3708.0;2539
Lille;2025;Appartement;peripherie;2586.0;3059
Lille;2025;Maison;centre;2796.0;939
Lille;2025;Maison;peripherie;2489.0;8303
Lyon;2021;Appartement;centre;5064.0;8074
Lyon;2021;Appartement;peripherie;3469.0;9298
Lyon;2021;Maison;centre;6450.0;228
Lyon;2021;Maison;peripherie;4359.0;2743
Lyon;2022;Appartement;centre;5079.0;7957
Lyon;2022;Appartement;peripherie;3651.0;8769
Lyon;2022;Maison;centre;6448.0;200
Lyon;2022;Maison;peripherie;4632.0;2553
Lyon;2023;Appartement;centre;4836.0;6361
Lyon;2023;Appartement;peripherie;3562.0;6661
Lyon;2023;Maison;centre;6541.0;147
Lyon;2023;Maison;peripherie;4407.0;1843
Lyon;2024;Appartement;centre;4483.0;5782
Lyon;2024;Appartement;peripherie;3295.0;5956
Lyon;2024;Maison;centre;5787.0;136
Lyon;2024;Maison;peripherie;4087.0;1737
Lyon;2025;Appartement;centre;4470.0;6696
Lyon;2025;Appartement;peripherie;3333.0;7001
Lyon;2025;Maison;centre;5347.0;176
Lyon;2025;Maison;peripherie;3987.0;2060
Marseille;2021;Appartement;centre;2836.0;13214
Marseille;2021;Appartement;peripherie;3425.0;7463
Marseille;2021;Maison;centre;4329.0;1856
Marseille;2021;Maison;peripherie;3889.0;6586
Marseille;2022;Appartement;centre;3089.0;13233
Marseille;2022;Appartement;peripherie;3667.0;7551
Marseille;2022;Maison;centre;4783.0;1670
Marseille;2022;Maison;peripherie;4218.0;5958
Marseille;2023;Appartement;centre;3167.0;10468
Marseille;2023;Appartement;peripherie;3792.0;5923
Marseille;2023;Maison;centre;5000.0;1260
Marseille;2023;Maison;peripherie;4292.0;4633
Marseille;2024;Appartement;centre;3089.0;8909
Marseille;2024;Appartement;peripherie;3699.0;5355
Marseille;2024;Maison;centre;4643.0;1209
Marseille;2024;Maison;peripherie;4130.0;4228
Marseille;2025;Appartement;centre;3214.0;10442
Marseille;2025;Appartement;peripherie;3706.0;6444
Marseille;2025;Maison;centre;4641.0;1420
Marseille;2025;Maison;peripherie;4119.0;5098
Montpellier;2021;Appartement;centre;3158.0;4992
Montpellier;2021;Appartement;peripherie;3505.0;1098
Montpellier;2021;Maison;centre;3667.0;578
Montpellier;2021;Maison;peripherie;3760.0;1758
Montpellier;2022;Appartement;centre;3371.0;5138
Montpellier;2022;Appartement;peripherie;3771.0;1199
Montpellier;2022;Maison;centre;4039.0;538
Montpellier;2022;Maison;peripherie;4030.0;1606
Montpellier;2023;Appartement;centre;3432.0;4125
Montpellier;2023;Appartement;peripherie;3833.0;962
Montpellier;2023;Maison;centre;4078.0;444
Montpellier;2023;Maison;peripherie;4107.0;1300
Montpellier;2024;Appartement;centre;3304.0;3555
Montpellier;2024;Appartement;peripherie;3686.0;840
Montpellier;2024;Maison;centre;4014.0;386
Montpellier;2024;Maison;peripherie;3977.0;1112
Montpellier;2025;Appartement;centre;3397.0;4095
Montpellier;2025;Appartement;peripherie;3682.0;1112
Montpellier;2025;Maison;centre;3783.0;444
Montpellier;2025;Maison;peripherie;3916.0;1328
Nantes;2021;Appartement;centre;3831.0;5079
Nantes;2021;Appartement;peripherie;2958.0;1986
Nantes;2021;Maison;centre;4467.0;1391
Nantes;2021;Maison;peripherie;3467.0;3313
Nantes;2022;Appartement;centre;3882.0;5059
Nantes;2022;Appartement;peripherie;3165.0;2113
Nantes;2022;Maison;centre;4720.0;1298
Nantes;2022;Maison;peripherie;3620.0;3023
Nantes;2023;Appartement;centre;3718.0;3973
Nantes;2023;Appartement;peripherie;3097.0;1756
Nantes;2023;Maison;centre;4634.0;924
Nantes;2023;Maison;peripherie;3525.0;2310
Nantes;2024;Appartement;centre;3438.0;3383
Nantes;2024;Appartement;peripherie;2952.0;1541
Nantes;2024;Maison;centre;4142.0;862
Nantes;2024;Maison;peripherie;3222.0;2174
Nantes;2025;Appartement;centre;3390.0;3975
Nantes;2025;Appartement;peripherie;3000.0;1791
Nantes;2025;Maison;centre;4115.0;1008
Nantes;2025;Maison;peripherie;3196.0;2538
Nice;2021;Appartement;centre;4241.0;8201
Nice;2021;Appartement;peripherie;4140.0;3124
Nice;2021;Maison;centre;5566.0;304
Nice;2021;Maison;peripherie;4420.0;795
Nice;2022;Appartement;centre;4474.0;8961
Nice;2022;Appartement;peripherie;4402.0;3307
Nice;2022;Maison;centre;6192.0;277
Nice;2022;Maison;peripherie;4870.0;765
Nice;2023;Appartement;centre;4688.0;7232
Nice;2023;Appartement;peripherie;4506.0;2678
Nice;2023;Maison;centre;6437.0;175
Nice;2023;Maison;peripherie;4907.0;618
Nice;2024;Appartement;centre;4741.0;6369
Nice;2024;Appartement;peripherie;4615.0;2340
Nice;2024;Maison;centre;6287.0;214
Nice;2024;Maison;peripherie;4900.0;557
Nice;2025;Appartement;centre;4853.0;7299
Nice;2025;Appartement;peripherie;4752.0;2614
Nice;2025;Maison;centre;6449.0;214
Nice;2025;Maison;peripherie;4897.0;615
Paris;2021;Appartement;centre;10882.0;31188
Paris;2021;Appartement;peripherie;5590.0;44128
Paris;2021;Maison;centre;15672.0;180
Paris;2021;Maison;peripherie;4966.0;13764
Paris;2022;Appartement;centre;10750.0;33911
Paris;2022;Appartement;peripherie;5755.0;44386
Paris;2022;Maison;centre;15153.0;158
Paris;2022;Maison;peripherie;5197.0;12882
Paris;2023;Appartement;centre;10192.0;27473
Paris;2023;Appartement;peripherie;5517.0;33959
Paris;2023;Maison;centre;14326.0;137
Paris;2023;Maison;peripherie;5015.0;9346
Paris;2024;Appartement;centre;9610.0;25030
Paris;2024;Appartement;peripherie;5193.0;29625
Paris;2024;Maison;centre;12502.0;104
Paris;2024;Maison;peripherie;4683.0;8516
Paris;2025;Appartement;centre;9729.0;28943
Paris;2025;Appartement;peripherie;5300.0;35639
Paris;2025;Maison;centre;12619.0;153
Paris;2025;Maison;peripherie;4665.0;9949
Rennes;2021;Appartement;centre;3573.0;3406
Rennes;2021;Appartement;peripherie;2812.0;1531
Rennes;2021;Maison;centre;5000.0;551
Rennes;2021;Maison;peripherie;2872.0;1907
Rennes;2022;Appartement;centre;3824.0;3455
Rennes;2022;Appartement;peripherie;3075.0;1414
Rennes;2022;Maison;centre;5229.0;516
Rennes;2022;Maison;peripherie;3137.0;1735
Rennes;2023;Appartement;centre;3750.0;2759
Rennes;2023;Appartement;peripherie;3125.0;1168
