ville;code_epci;nom_epci;code_commune;nom_commune;code_departement;population;est_centre
Paris;200054781;Métropole du Grand Paris;75056;Paris;75;2103778;True
Paris;200054781;Métropole du Grand Paris;91027;Athis-Mons;91;36613;False
Paris;200054781;Métropole du Grand Paris;91326;Juvisy-sur-Orge;91;19292;False
Paris;200054781;Métropole du Grand Paris;91432;Morangis;91;14129;False
Paris;200054781;Métropole du Grand Paris;91479;Paray-Vieille-Poste;91;8202;False
Paris;200054781;Métropole du Grand Paris;91589;Savigny-sur-Orge;91;37601;False
Paris;200054781;Métropole du Grand Paris;91687;Viry-Châtillon;91;30838;False
Paris;200054781;Métropole du Grand Paris;92002;Antony;92;64263;False
Paris;200054781;Métropole du Grand Paris;92004;Asnières-sur-Seine;92;93941;False
Paris;200054781;Métropole du Grand Paris;92007;Bagneux;92;44572;False
Paris;200054781;Métropole du Grand Paris;92009;Bois-Colombes;92;28909;False
Paris;200054781;Métropole du Grand Paris;92012;Boulogne-Billancourt;92;119019;False
Paris;200054781;Métropole du Grand Paris;92014;Bourg-la-Reine;92;21019;False
Paris;200054781;Métropole du Grand Paris;92019;Châtenay-Malabry;92;35825;False
Paris;200054781;Métropole du Grand Paris;92020;Châtillon;92;36705;False
Paris;200054781;Métropole du Grand Paris;92022;Chaville;92;20594;False
Paris;200054781;Métropole du Grand Paris;92023;Clamart;92;58576;False
Paris;200054781;Métropole du Grand Paris;92024;Clichy;92;64410;False
Paris;200054781;Métropole du Grand Paris;92025;Colombes;92;91053;False
Paris;200054781;Métropole du Grand Paris;92026;Courbevoie;92;82902;False
Paris;200054781;Métropole du Grand Paris;92032;Fontenay-aux-Roses;92;24070;False
Paris;200054781;Métropole du Grand Paris;92033;Garches;92;17743;False
Paris;200054781;Métropole du Grand Paris;92035;La Garenne-Colombes;92;30197;False
Paris;200054781;Métropole du Grand Paris;92036;Gennevilliers;92;50979;False
Paris;200054781;Métropole du Grand Paris;92040;Issy-les-Moulineaux;92;67669;False
Paris;200054781;Métropole du Grand Paris;92044;Levallois-Perret;92;68092;False
Paris;200054781;Métropole du Grand Paris;92046;Malakoff;92;30557;False
Paris;200054781;Métropole du Grand Paris;92047;Marnes-la-Coquette;92;1752;False
Paris;200054781;Métropole du Grand Paris;92048;Meudon;92;46334;False
Paris;200054781;Métropole du Grand Paris;92049;Montrouge;92;46324;False
Paris;200054781;Métropole du Grand Paris;92050;Nanterre;92;97783;False
Paris;200054781;Métropole du Grand Paris;92051;Neuilly-sur-Seine;92;59538;False
Paris;200054781;Métropole du Grand Paris;92060;Le Plessis-Robinson;92;28848;False
Paris;200054781;Métropole du Grand Paris;92062;Puteaux;92;44002;False
Paris;200054781;Métropole du Grand Paris;92063;Rueil-Malmaison;92;82874;False
Paris;200054781;Métropole du Grand Paris;92064;Saint-Cloud;92;29855;False
Paris;200054781;Métropole du Grand Paris;92071;Sceaux;92;20884;False
Paris;200054781;Métropole du Grand Paris;92072;Sèvres;92;22303;False
Paris;200054781;Métropole du Grand Paris;92073;Suresnes;92;48956;False
Paris;200054781;Métropole du Grand Paris;92075;Vanves;92;28622;False
Paris;200054781;Métropole du Grand Paris;92076;Vaucresson;92;8432;False
Paris;200054781;Métropole du Grand Paris;92077;Ville-d'Avray;92;11089;False
Paris;200054781;Métropole du Grand Paris;92078;Villeneuve-la-Garenne;92;26021;False
Paris;200054781;Métropole du Grand Paris;93001;Aubervilliers;93;88365;False
Paris;200054781;Métropole du Grand Paris;93005;Aulnay-sous-Bois;93;87599;False
Paris;200054781;Métropole du Grand Paris;93006;Bagnolet;93;43086;False
Paris;200054781;Métropole du Grand Paris;93007;Le Blanc-Mesnil;93;62376;False
Paris;200054781;Métropole du Grand Paris;93008;Bobigny;93;56927;False
Paris;200054781;Métropole du Grand Paris;93010;Bondy;93;50595;False
Paris;200054781;Métropole du Grand Paris;93013;Le Bourget;93;15925;False
Paris;200054781;Métropole du Grand Paris;93014;Clichy-sous-Bois;93;29354;False
Paris;200054781;Métropole du Grand Paris;93015;Coubron;93;5175;False
Paris;200054781;Métropole du Grand Paris;93027;La Courneuve;93;47167;False
Paris;200054781;Métropole du Grand Paris;93029;Drancy;93;72390;False
Paris;200054781;Métropole du Grand Paris;93030;Dugny;93;11700;False
Paris;200054781;Métropole du Grand Paris;93031;Épinay-sur-Seine;93;52833;False
Paris;200054781;Métropole du Grand Paris;93032;Gagny;93;42313;False
Paris;200054781;Métropole du Grand Paris;93033;Gournay-sur-Marne;93;7320;False
Paris;200054781;Métropole du Grand Paris;93039;L'Île-Saint-Denis;93;8696;False
Paris;200054781;Métropole du Grand Paris;93045;Les Lilas;93;23843;False
Paris;200054781;Métropole du Grand Paris;93046;Livry-Gargan;93;47228;False
Paris;200054781;Métropole du Grand Paris;93047;Montfermeil;93;28703;False
Paris;200054781;Métropole du Grand Paris;93048;Montreuil;93;111934;False
Paris;200054781;Métropole du Grand Paris;93049;Neuilly-Plaisance;93;21941;False
Paris;200054781;Métropole du Grand Paris;93050;Neuilly-sur-Marne;93;39800;False
Paris;200054781;Métropole du Grand Paris;93051;Noisy-le-Grand;93;72978;False
Paris;200054781;Métropole du Grand Paris;93053;Noisy-le-Sec;93;45510;False
Paris;200054781;Métropole du Grand Paris;93055;Pantin;93;61929;False
Paris;200054781;Métropole du Grand Paris;93057;Les Pavillons-sous-Bois;93;25804;False
Paris;200054781;Métropole du Grand Paris;93061;Le Pré-Saint-Gervais;93;16993;False
Paris;200054781;Métropole du Grand Paris;93062;Le Raincy;93;14735;False
Paris;200054781;Métropole du Grand Paris;93063;Romainville;93;37152;False
Paris;200054781;Métropole du Grand Paris;93064;Rosny-sous-Bois;93;47180;False
Paris;200054781;Métropole du Grand Paris;93066;Saint-Denis;93;149077;False
Paris;200054781;Métropole du Grand Paris;93070;Saint-Ouen-sur-Seine;93;53615;False
Paris;200054781;Métropole du Grand Paris;93071;Sevran;93;52535;False
Paris;200054781;Métropole du Grand Paris;93072;Stains;93;41388;False
Paris;200054781;Métropole du Grand Paris;93073;Tremblay-en-France;93;38348;False
Paris;200054781;Métropole du Grand Paris;93074;Vaujours;93;8007;False
Paris;200054781;Métropole du Grand Paris;93077;Villemomble;93;29795;False
Paris;200054781;Métropole du Grand Paris;93078;Villepinte;93;41470;False
Paris;200054781;Métropole du Grand Paris;93079;Villetaneuse;93;12530;False
Paris;200054781;Métropole du Grand Paris;94001;Ablon-sur-Seine;94;5988;False
Paris;200054781;Métropole du Grand Paris;94002;Alfortville;94;45531;False
Paris;200054781;Métropole du Grand Paris;94003;Arcueil;94;22200;False
Paris;200054781;Métropole du Grand Paris;94004;Boissy-Saint-Léger;94;17325;False
Paris;200054781;Métropole du Grand Paris;94011;Bonneuil-sur-Marne;94;18270;False
Paris;200054781;Métropole du Grand Paris;94015;Bry-sur-Marne;94;18503;False
Paris;200054781;Métropole du Grand Paris;94016;Cachan;94;31103;False
Paris;200054781;Métropole du Grand Paris;94017;Champigny-sur-Marne;94;78072;False
Paris;200054781;Métropole du Grand Paris;94018;Charenton-le-Pont;94;28830;False
Paris;200054781;Métropole du Grand Paris;94019;Chennevières-sur-Marne;94;18710;False
Paris;200054781;Métropole du Grand Paris;94021;Chevilly-Larue;94;19826;False
Paris;200054781;Métropole du Grand Paris;94022;Choisy-le-Roi;94;45946;False
Paris;200054781;Métropole du Grand Paris;94028;Créteil;94;93397;False
Paris;200054781;Métropole du Grand Paris;94033;Fontenay-sous-Bois;94;53757;False
Paris;200054781;Métropole du Grand Paris;94034;Fresnes;94;29528;False
Paris;200054781;Métropole du Grand Paris;94037;Gentilly;94;19963;False
Paris;200054781;Métropole du Grand Paris;94038;L'Haÿ-les-Roses;94;31188;False
Paris;200054781;Métropole du Grand Paris;94041;Ivry-sur-Seine;94;65064;False
Paris;200054781;Métropole du Grand Paris;94042;Joinville-le-Pont;94;20525;False
Paris;200054781;Métropole du Grand Paris;94043;Le Kremlin-Bicêtre;94;24110;False
Paris;200054781;Métropole du Grand Paris;94044;Limeil-Brévannes;94;27406;False
Paris;200054781;Métropole du Grand Paris;94046;Maisons-Alfort;94;56799;False
Paris;200054781;Métropole du Grand Paris;94047;Mandres-les-Roses;94;4922;False
Paris;200054781;Métropole du Grand Paris;94048;Marolles-en-Brie;94;4781;False
Paris;200054781;Métropole du Grand Paris;94052;Nogent-sur-Marne;94;32455;False
Paris;200054781;Métropole du Grand Paris;94053;Noiseau;94;4628;False
Paris;200054781;Métropole du Grand Paris;94054;Orly;94;24658;False
Paris;200054781;Métropole du Grand Paris;94055;Ormesson-sur-Marne;94;10977;False
Paris;200054781;Métropole du Grand Paris;94056;Périgny;94;2724;False
Paris;200054781;Métropole du Grand Paris;94058;Le Perreux-sur-Marne;94;35260;False
Paris;200054781;Métropole du Grand Paris;94059;Le Plessis-Trévise;94;21112;False
Paris;200054781;Métropole du Grand Paris;94060;La Queue-en-Brie;94;12241;False
Paris;200054781;Métropole du Grand Paris;94065;Rungis;94;5611;False
Paris;200054781;Métropole du Grand Paris;94067;Saint-Mandé;94;21071;False
Paris;200054781;Métropole du Grand Paris;94068;Saint-Maur-des-Fossés;94;76572;False
Paris;200054781;Métropole du Grand Paris;94069;Saint-Maurice;94;14506;False
Paris;200054781;Métropole du Grand Paris;94070;Santeny;94;3913;False
Paris;200054781;Métropole du Grand Paris;94071;Sucy-en-Brie;94;27764;False
Paris;200054781;Métropole du Grand Paris;94073;Thiais;94;32918;False
Paris;200054781;Métropole du Grand Paris;94074;Valenton;94;14406;False
Paris;200054781;Métropole du Grand Paris;94075;Villecresnes;94;11647;False
Paris;200054781;Métropole du Grand Paris;94076;Villejuif;94;60183;False
Paris;200054781;Métropole du Grand Paris;94077;Villeneuve-le-Roi;94;21000;False
Paris;200054781;Métropole du Grand Paris;94078;Villeneuve-Saint-Georges;94;36221;False
Paris;200054781;Métropole du Grand Paris;94079;Villiers-sur-Marne;94;33162;False
Paris;200054781;Métropole du Grand Paris;94080;Vincennes;94;48193;False
Paris;200054781;Métropole du Grand Paris;94081;Vitry-sur-Seine;94;93963;False
Paris;200054781;Métropole du Grand Paris;95018;Argenteuil;95;106130;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13001;Aix-en-Provence;13;149695;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13002;Allauch;13;21443;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13003;Alleins;13;2852;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13005;Aubagne;13;47529;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13007;Auriol;13;13037;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13008;Aurons;13;555;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13009;La Barben;13;868;False
Marseille;200054807;Métropole d'Aix-Marseille-Provence;13012;Beaurecueil;13;585;False
